@relation 'mario-weka.filters.unsupervised.attribute.Remove-R2-3,5-6-weka.filters.unsupervised.attribute.Remove-R2_clustered'

@attribute Instance_number numeric
@attribute enemigoDelante {0,1}
@attribute monedaEncima {0,1}
@attribute bloqueEncima {0,1}
@attribute obstaculoDelante {0,1}
@attribute left {Si,No}
@attribute right {Si,No}
@attribute down {Si,No}
@attribute jump {Si,No}
@attribute speed {Si,No}
@attribute up {Si,No}
@attribute Puntuacion+Distancia numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
347,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
348,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
349,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
350,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
351,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
352,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
353,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
354,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
355,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
356,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
357,0,0,0,0,No,Si,No,No,No,No,54,cluster0
358,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
359,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
360,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
361,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
362,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
363,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
364,0,0,0,0,No,Si,No,Si,No,No,13,cluster0
365,0,0,0,0,No,Si,No,Si,No,No,12,cluster0
366,0,0,0,0,No,Si,No,Si,No,No,13,cluster0
367,0,0,0,0,No,Si,No,Si,No,No,12,cluster0
368,0,0,0,0,No,Si,No,Si,No,No,12,cluster0
369,0,0,0,0,No,Si,No,Si,No,No,13,cluster0
